strain,evol.temp,assay.temp,evol.rep,u.max,a,se.u,se.a,s,AIC,sd.u,sd.a
16_16_1,16,16,1,0.862251048,0.029269267,0.033458723,0.002819037,0.013257156,2828.561135,0.183260975,0.015440503
16_16_2,16,16,2,0.836170877,0.024627979,0.031905373,0.002348789,0.009399162,3335.193154,0.174752924,0.012864848
16_16_3,16,16,3,0.769616434,0.049720794,0.019528278,0.004184855,0.007698266,3471.508851,0.106960784,0.022921396
16_16_4,16,16,4,0.775928627,0.034339715,0.034276515,0.003883072,0.011313771,3310.588334,0.187740205,0.021268459
16_16_5,16,16,5,0.930885987,0.022264303,0.071989985,0.004170795,0.022593863,2757.452373,0.374070933,0.021672088
31_16_1,31,16,1,0.649082401,0.238998735,0.036724623,0.055497058,0.021209758,3036.417812,0.201149043,0.303969904
31_16_2,31,16,2,0.78957201,0.051937732,0.025596502,0.004458045,0.007259381,3411.875594,0.140197813,0.024417719
31_16_3,31,16,3,0.733975689,0.056341705,0.02750837,0.00842193,0.012889245,2887.284647,0.15066955,0.046128812
31_16_4,31,16,4,0.607474021,0.023689906,0.025246291,0.003192144,0.011124465,2970.570125,0.138279632,0.017484094
31_16_5,31,16,5,0.739663245,0.062626439,0.023910091,0.008559923,0.011417411,3011.320225,0.130960962,0.046884632
16_31_1,16,31,1,0.809681911,0.025688382,0.022712783,0.002275131,0.007144109,1635.309655,0.106532396,0.010671311
16_31_2,16,31,2,0.585028361,0.032029356,0.024608063,0.005454052,0.010818119,3417.464107,0.13478391,0.029873075
16_31_3,16,31,3,0.640806979,0.061606729,0.026117777,0.012700048,0.01357881,2448.171626,0.133175052,0.064757793
16_31_4,16,31,4,0.644936571,0.054530406,0.034188962,0.01250442,0.016856244,2789.200774,0.180910984,0.06616717
16_31_5,16,31,5,0.825166727,0.029145713,0.058083784,0.006883719,0.0209507,2159.12412,0.296170348,0.035100219
31_31_1,31,31,1,0.96932045,0.032035391,0.04692045,0.004413288,0.020525286,1920.577207,0.23460225,0.02206644
31_31_2,31,31,2,0.960551648,0.069991255,0.052362009,0.012463536,0.028419185,1981.585979,0.266994907,0.063551816
31_31_3,31,31,3,0.806837446,0.087031253,0.050737029,0.023045899,0.025464865,2191.283335,0.258709101,0.117511488
31_31_4,31,31,4,0.841589147,0.029071557,0.032958944,0.003883817,0.013458488,2006.825349,0.164794721,0.019419087
31_31_5,31,31,5,0.759374034,0.03168996,0.060865966,0.006805505,0.022627967,1808.618176,0.29190292,0.032638056
