topt,b2,d0,d1,d2,s,mu.opt,tmax,strain,evol.temp,evol.rep,ctmax,sharpness,inf.point,up.conc,upper.tail
26.60855674,0.059313119,0.023420465,4.38E-05,0.321828817,0.049093136,0.992592239,33.00145677,16_1,16,1,33.00141258,0.019389827,20.16561656,0.001663113,6.392855836
26.28230769,0.022581461,1.314756267,3.06E-05,0.327920605,0.049698783,0.973109542,33.0304035,16_1,16,1,33.03238195,0.016954807,17.51935194,0.000785874,6.750074256
26.57281129,0.030215024,0.677478329,5.00E-06,0.385360038,0.059443868,0.966761095,32.67262583,16_1,16,1,32.67388903,0.019174416,19.40594059,0.000974284,6.101077743
25.94736168,0.088187959,0.061356385,0.004199903,0.204333895,0.049296494,1.048919556,33.03612417,16_1,16,1,33.03612394,0.020009475,18.71107111,0.002410325,7.088762259
26.32393021,0.02358285,1.305027257,2.62E-05,0.334310851,0.057607837,0.985636649,32.91388,16_1,16,1,32.91438667,0.018051893,17.78937894,0.000851995,6.590456461
25.7513134,0.015673626,2.266079107,6.65E-05,0.306110409,0.068759714,1.00097751,32.93043712,16_1,16,1,32.93018901,0.015666394,15.51755176,0.000582328,7.178875606
25.55967722,0.042605957,0.558613176,0.000794243,0.237541819,0.055598544,1.016059366,33.16167307,16_1,16,1,33.16165103,0.015933567,16.74527453,0.001348701,7.601973811
26.11439903,0.070275194,0.002092894,0.000418795,0.260386123,0.034708464,1.014937213,32.99889768,16_1,16,1,32.99890641,0.018604241,19.22592259,0.001907253,6.884507379
26.12299991,0.02148765,1.289181102,2.42E-05,0.335369583,0.064863686,0.962932812,32.89502965,16_1,16,1,32.89904478,0.016258716,17.36813681,0.000714789,6.776044867
26.28451444,0.078639398,0.011636703,0.000421002,0.265079059,0.045384178,1.047905553,32.7772689,16_1,16,1,32.77727727,0.022099855,19.7659766,0.002350746,6.492762825
26.14333428,0.029376914,0.67093127,1.40E-05,0.355368214,0.050609419,1.013784136,32.69035037,16_1,16,1,32.68910892,0.017564779,18.4950495,0.000926885,6.545774645
25.85716348,0.013769585,2.735425373,8.72E-05,0.295871043,0.050971467,1.019404928,33.2297085,16_1,16,1,33.22865301,0.015297778,14.98469847,0.000527611,7.371489527
25.11343954,0.036552912,0.491160358,0.000550252,0.245561538,0.028347183,1.008703755,33.11070554,16_1,16,1,33.11070636,0.01345925,16,0.001029318,7.997266816
26.11338509,0.021310705,1.221697373,2.16E-05,0.338719658,0.057301745,1.014877896,32.98899691,16_1,16,1,32.98460008,0.016117693,17.40054005,0.000699446,6.871214985
25.55810237,0.015216434,2.250555072,6.13E-05,0.309632832,0.066576906,0.993956665,32.75400103,16_1,16,1,32.75161533,0.015283918,15.32313231,0.000549948,7.193512958
26.07124135,0.021537757,1.196754635,2.02E-05,0.340941502,0.04946543,0.973206264,32.86746925,16_1,16,1,32.86981399,0.015942315,17.42574257,0.000694177,6.798572637
25.89770108,0.021847225,1.121350182,1.64E-05,0.350058909,0.050043285,1.006483298,32.65684767,16_1,16,1,32.66153386,0.016303518,17.44734473,0.000703397,6.763832782
26.28164488,0.081480113,0.002526452,0.00058579,0.255291647,0.052135554,1.02232445,32.84659527,16_1,16,1,32.84659455,0.021325196,19.7119712,0.002332085,6.564949671
26.14638121,0.024196815,1.360875514,2.98E-05,0.33407212,0.05748372,1.013830353,32.66515411,16_1,16,1,32.66184613,0.01916994,17.67416742,0.000921677,6.515464922
