topt,b2,d0,d1,d2,s,mu.opt,ctmax,r2,n,sd.topt,evol.temp,evol.rep,strain,topt.lwr95,topt.uppr95,sharpness,inf.point,up.conc,upper.tail
26.19555695,0.024099392,1.059175123,1.66E-05,0.348485599,0.06092424,0.995530788,32.81384758,0.94842773,14,1.138511328,16,1,16_1,25.59916824,26.79194565,0.017299711,17.95859586,0.000804208,6.61829063
23.81342125,0.028977683,2.256870242,0.019463224,0.154863216,0.082234454,1.121662595,32.82442338,0.944722611,14,1.846712142,16,2,16_2,22.84605427,24.78078823,0.015159643,10.49864986,0.00128363,9.011002134
24.82120149,0.026598919,1.559066,0.001031487,0.234107592,0.051515632,1.127812784,32.70148418,0.975062951,14,1.026398608,16,3,16_3,24.28354102,25.35886197,0.016729829,14.34023402,0.001088496,7.88028269
24.59270006,0.03718386,1.264751374,0.004264563,0.197080838,0.068533457,1.070196016,32.54663026,0.959453798,14,1.457537887,16,4,16_4,23.82919503,25.3562051,0.017116471,14.16381638,0.001486348,7.953930205
25.33681718,0.031500342,1.108687463,0.00042835,0.259825885,0.065578639,1.135548274,32.7322279,0.959453235,14,1.239687821,16,5,16_5,24.68742898,25.98620537,0.018362384,16.09720972,0.001244086,7.395410717
26.87261976,0.148621293,0.045920921,0.102238087,0.16832233,0.079591145,1.202751423,33.1044143,0.950974653,14,1.041961073,31,1,31_1,26.32680717,27.41843235,0.031241768,20.55445545,0.004216586,6.231794536
26.88106398,0.116905537,0.135090391,0.015908822,0.184812111,0.086510161,1.193118507,33.36507978,0.941329802,14,1.283922781,31,2,31_2,26.2085041,27.55362386,0.028689977,20.13681368,0.003750717,6.4840158
26.38159288,0.109066002,0.524718277,0.235493579,0.132830419,0.066274702,1.181778386,33.61077815,0.969844405,14,0.931677895,31,3,31_3,25.89355015,26.8696356,0.024712007,18.08820882,0.003324243,7.229185266
26.72112724,0.102448505,0.187345295,0.016964816,0.175677802,0.082402471,1.138341242,33.68564789,0.937130105,14,1.394318971,31,4,31_4,25.99073829,27.45151618,0.023864555,19.35553555,0.003076978,6.964520646
27.82920793,0.061970827,0.271701502,6.19E-07,0.461109521,0.091384494,1.218645432,32.54363391,0.944740006,14,0.872034114,31,5,31_5,27.37240853,28.28600733,0.042655889,22.80108011,0.003071479,4.714425982
