evol.temp,assay.temp,evol.rep,strain,u.max,log_a,s
16,16,1,16_16_1,0.892740993,-3.532659356,0.040925717
16,16,1,16_16_1,0.848976719,-3.41911743,0.051345218
16,16,1,16_16_1,0.864997935,-3.524816961,0.058057742
16,16,1,16_16_1,0.866952537,-3.507455751,0.054378125
16,16,1,16_16_1,0.868540628,-3.546197079,0.065342826
16,16,1,16_16_1,0.881799688,-3.61496696,0.062214308
16,16,1,16_16_1,0.856588775,-3.506346727,0.049159366
16,16,1,16_16_1,0.944701359,-3.671651773,0.050286953
16,16,1,16_16_1,0.852439857,-3.334667607,0.048441282
16,16,1,16_16_1,0.892463019,-3.617402972,0.059642441
16,16,1,16_16_1,0.828821124,-3.429454916,0.059176539
16,16,1,16_16_1,0.856957945,-3.549795238,0.047180488
16,16,1,16_16_1,0.88551485,-3.683192071,0.056442865
16,16,1,16_16_1,0.915422029,-3.540528713,0.053830904
16,16,1,16_16_1,0.893613906,-3.570703104,0.043101779
16,16,1,16_16_1,0.837745711,-3.516183248,0.053792806
16,16,1,16_16_1,0.897777538,-3.482098074,0.042755609
16,16,1,16_16_1,0.878915552,-3.590861681,0.064401733
16,16,1,16_16_1,0.870470307,-3.537423888,0.058017025
16,16,1,16_16_1,0.834456664,-3.440122214,0.053237115
16,16,1,16_16_1,0.850416748,-3.495453456,0.053287898
16,16,1,16_16_1,0.897517579,-3.621361028,0.062860384
16,16,1,16_16_1,0.871777556,-3.527422134,0.058951975
16,16,1,16_16_1,0.839732352,-3.48194168,0.059282659
16,16,1,16_16_1,0.898784035,-3.453210403,0.051190611
16,16,1,16_16_1,0.885449389,-3.565090297,0.058730493
16,16,1,16_16_1,0.900842575,-3.542127427,0.054026354
16,16,1,16_16_1,0.839672032,-3.412245721,0.057985293
16,16,1,16_16_1,0.829585817,-3.473594447,0.051813503
16,16,1,16_16_1,0.815904846,-3.275067727,0.03198365
16,16,1,16_16_1,0.889337145,-3.523822986,0.055081189
16,16,1,16_16_1,0.828215102,-3.517263256,0.061728295
16,16,1,16_16_1,0.860326058,-3.554898849,0.046239205
16,16,1,16_16_1,0.86588246,-3.586050144,0.062167093
16,16,1,16_16_1,0.866277921,-3.540407324,0.047549015
16,16,1,16_16_1,0.856910918,-3.454775096,0.055587558
16,16,1,16_16_1,0.92320352,-3.650089567,0.048492107
16,16,1,16_16_1,0.865427739,-3.565786864,0.057687104
16,16,1,16_16_1,0.875207073,-3.627329137,0.061111237
16,16,1,16_16_1,0.853179136,-3.494673708,0.055021595
16,16,1,16_16_1,0.859232492,-3.406843805,0.050497484
16,16,1,16_16_1,0.870750702,-3.505092711,0.055715971
16,16,1,16_16_1,0.879019685,-3.500252596,0.050407107
16,16,1,16_16_1,0.863380593,-3.494597132,0.060075214
