date,ident,evol.temp,assay.temp,evol.rep,assay.rep,conc.N,gr.rate,errs,sds,comments
102415,98,16,16,4,2,5,0.14347,0.03736,0.09151,ok
102415,99,16,16,4,3,5,0.06275,0.02957,0.07243,ok
102415,100,16,16,4,1,10,0.18768,0.02926,0.07168,ok
102415,101,16,16,4,2,10,0.27316,0.03914,0.09588,ok
102415,102,16,16,4,3,10,0.23902,0.00917,0.02245,ok
102415,103,16,16,4,1,20,0.39008,0.09638,0.23608,ok
102415,104,16,16,4,2,20,0.50847,0.00547,0.0134,ok
102415,105,16,16,4,3,20,0.45815,0.05104,0.12502,ok
102415,106,16,16,4,1,40,0.32189,0.05458,0.13368,ok
102415,107,16,16,4,2,40,0.53145,0.01771,0.04338,ok
102415,108,16,16,4,3,40,0.53264,0.03812,0.09337,ok
102415,109,16,16,4,1,60,0.5409,0.01162,0.02846,ok
102415,110,16,16,4,2,60,0.46227,0.0241,0.05903,ok
102415,111,16,16,4,3,60,0.60999,0.01446,0.03543,ok
102415,112,16,16,4,1,90,0.68563,0.02664,0.06524,ok
102415,113,16,16,4,2,90,0.65082,0.00538,0.01318,ok
102415,114,16,16,4,3,90,0.64159,0.00992,0.02431,ok
102415,115,16,16,4,1,150,0.74733,0.01415,0.03466,ok
102415,116,16,16,4,2,150,0.76509,0.00816,0.01998,ok
102415,117,16,16,4,3,150,0.75395,0.01875,0.04592,ok
102415,118,16,16,4,1,882,0.73317,0.03351,0.08208,ok
102415,119,16,16,4,2,882,0.70997,0.022,0.05388,ok
102415,120,16,16,4,3,882,0.76741,0.03322,0.08138,ok
90816,121,16,16,5,1,0,0.07514,0.01299,0.03182,ok
90816,122,16,16,5,2,0,0.04447,0.03926,0.09617,ok
90816,123,16,16,5,3,0,0.06031,0.02021,0.04949,ok
90816,124,16,16,5,1,2.5,0.08912,0.00229,0.00561,ok
90816,125,16,16,5,2,2.5,0.02295,0.01817,0.0445,ok
90816,126,16,16,5,3,2.5,0.07382,0.03119,0.07639,ok
90816,127,16,16,5,1,5,0.09943,0.00803,0.01966,ok
90816,128,16,16,5,2,5,0.09923,0.00915,0.02241,ok
90816,129,16,16,5,3,5,0.1052,0.02223,0.05446,ok
90816,130,16,16,5,1,10,0.27661,0.00988,0.0242,ok
90816,131,16,16,5,2,10,0.23225,0.0194,0.04752,ok
90816,132,16,16,5,3,10,0.29933,0.00815,0.01996,ok
90816,133,16,16,5,1,20,,,,bacteria
90816,134,16,16,5,2,20,,,,bacteria
90816,135,16,16,5,3,20,,,,bacteria
102016,136,16,16,5,1,40,0.42221,0.03271,0.08012,ok
102016,137,16,16,5,2,40,0.50865,0.08594,0.21051,ok
102016,138,16,16,5,3,40,0.39382,0.04795,0.11745,ok
102016,139,16,16,5,1,60,0.40788,0.03494,0.08558,ok
102016,140,16,16,5,2,60,0.38956,0.12154,0.2977,ok
102016,141,16,16,5,3,60,0.46172,0.04777,0.11702,ok
102016,142,16,16,5,1,90,0.80693,0.02484,0.06084,ok
102016,143,16,16,5,2,90,0.93653,0.05195,0.12724,ok
102016,144,16,16,5,3,90,0.83021,0.03271,0.08012,ok
102016,145,16,16,5,1,150,0.67277,0.01906,0.04668,ok
102016,146,16,16,5,2,150,0.69297,0.0177,0.04334,ok
102016,147,16,16,5,3,150,0.81323,0.07622,0.18671,ok
110916,148,16,16,5,1,882,0.83075,0.0451,0.0902,ok
110916,149,16,16,5,2,882,0.83314,0.06303,0.15439,ok
110916,150,16,16,5,3,882,0.99865,0,0,ok
92716,151,16,31,1,1,0,,,,bacteria
92716,152,16,31,1,2,0,,,,bacteria
92716,153,16,31,1,3,0,,,,bacteria
92716,154,16,31,1,1,2.5,0.1159,0.01878,0.04599,ok
92716,155,16,31,1,2,2.5,0.15508,0.0287,0.07031,ok
92716,156,16,31,1,3,2.5,0.15923,0.02393,0.05861,ok
92716,157,16,31,1,1,5,0.11803,0.0165,0.04042,ok
92716,158,16,31,1,2,5,0.1233,0.00688,0.01685,ok
92716,159,16,31,1,3,5,0.11445,0.05006,0.12262,ok
92716,160,16,31,1,1,10,0.16676,0.03531,0.08649,ok
92716,161,16,31,1,2,10,0.16871,0.01489,0.03648,ok
92716,162,16,31,1,3,10,0.17685,0.02646,0.06482,ok
112116,163,16,31,1,1,20,0.33142,0.01026,0.02512,ok
112116,164,16,31,1,2,20,0.30248,0.0123,0.03014,ok
112116,165,16,31,1,3,20,0.29226,0.06773,0.16591,ok
112116,166,16,31,1,1,40,0.34239,0.00342,0.00837,ok
112116,167,16,31,1,2,40,,,,bacteria
112116,168,16,31,1,3,40,,,,bacteria
112116,169,16,31,1,1,60,,,,bacteria
112116,170,16,31,1,2,60,,,,bacteria
112116,171,16,31,1,3,60,,,,bacteria
90516,172,16,31,1,1,90,0.6186,0.04304,0.10543,ok
90516,173,16,31,1,2,90,0.56678,0.04537,0.11113,ok
90516,174,16,31,1,3,90,0.56107,0.01275,0.03122,ok
90516,175,16,31,1,1,150,0.72132,0.02801,0.06861,ok
90516,176,16,31,1,2,150,0.70288,0.07592,0.18596,ok
90516,177,16,31,1,3,150,0.67749,0.0235,0.05756,ok
120716,178,16,31,1,1,882,0.70288,0.00887,0.02174,ok
120716,179,16,31,1,2,882,0.76479,0.05495,0.1346,ok
120716,180,16,31,1,3,882,0.74522,0.00932,0.02282,ok
102915,181,16,31,2,1,0,0.14977,0.0146,0.03575,ok
102915,182,16,31,2,2,0,0.10541,0.01352,0.03312,ok
102915,183,16,31,2,3,0,0.16182,0.01908,0.04674,ok
102915,184,16,31,2,1,2.5,0.13244,0.01061,0.02598,ok
102915,185,16,31,2,2,2.5,0.17292,0.01492,0.03655,ok
102915,186,16,31,2,3,2.5,0.1802,0.0266,0.06517,ok
102915,187,16,31,2,1,5,0.15267,0.00852,0.02087,ok
102915,188,16,31,2,2,5,0.1922,0.0056,0.01373,ok
102915,189,16,31,2,3,5,0.16445,0.02125,0.05204,ok
102915,190,16,31,2,1,10,0.169,0.0136,0.03332,ok
102915,191,16,31,2,2,10,0.11952,0.01624,0.03978,ok
102915,192,16,31,2,3,10,0.13888,0.01327,0.03251,ok
102915,193,16,31,2,1,20,0.25277,0.03515,0.0861,ok
102915,194,16,31,2,2,20,0.23881,0.04276,0.10474,ok
102915,195,16,31,2,3,20,0.23645,0.03625,0.0888,ok
102915,196,16,31,2,1,40,0.52142,0.00645,0.0158,ok
102915,197,16,31,2,2,40,0.46377,0.01579,0.03868,ok
102915,198,16,31,2,3,40,0.51169,0.00945,0.02316,ok
102915,199,16,31,2,1,60,0.51225,0.04139,0.10139,ok
102915,200,16,31,2,2,60,0.50254,0.00353,0.00863,ok
102915,201,16,31,2,3,60,0.49633,0.00284,0.00696,ok
102915,202,16,31,2,1,90,0.53844,0.04078,0.09988,ok
102915,203,16,31,2,2,90,0.55921,0.01005,0.02462,ok
102915,204,16,31,2,3,90,0.59592,0.00691,0.01692,ok
102915,205,16,31,2,1,150,0.54445,0.06646,0.1628,ok
